Name,Price(07/11/2025),Price(08/11/2025)
Kiam Frypan Wl-30cm,1449.36,1449.36
Kiam Karai (Metal Handle) 24 Cm,1005,1005
Kiam Karai (Metal Handle) 26 Cm,1080,1080
Kiam Karai (Metal Handle) 30 Cm,1430,1430
Kiam Karai G. Lid-22cm,1229.58,1229.58
Kiam Karai G. Lid-26cm,1550.34,1550.34
Kiam Karai G. Lid-28cm,1704.78,1704.78
Kiam Karai G. Lid-30cm,1841.4,1841.4
Kiam Milk Pan Bakelite-05 14 Cm,515,515
Kiam Milk Pan Bakelite-07 16 Cm,588,588
Kiam Multipan With Glass Lid 26 Cm,1399.46,1399.46
Kiam Pitha Hari N0-9,465,465
Kiam Pressure Coocker Q/White 5.5ltr,1978.02,1978.02
Kiam Rice Cooker Drc- 8704 2.8 Ltr,3700,3700
Kiam Rice Hari No- 8,365,365
Kiam Ruti Towa 26cm,986,986
Kiam Stock Pot 36 Cm,2950,2950
Kiam Stock Pot 40 Cm,3350,3350
Lacys Aluminum Foil 37.5 Sq/Ft,425,425
Mehjabin Frypan With Lid-Ceramic 24 Cm,1998,1998
Noah Blender 777-250 Watt,1689,1689
Noah Casserole Gl -22.5cm,1485,1485
Noah Casserole Gl -24.5cm,1789,1789
Noah Casserole Gl -26.5cm,1989,1989
Noah Casserole Gl -28.5cm,2299,2299
Noah Casserole Gl -30.5cm,2499,2499
Noah Casserole Gl -32.5cm,3189,3189
Noah Casserole Gl -34.5cm,3489,3489
Noah Cutlery Set -24 Pcs Set (Steel),1050,1050
Noah Dosa Tawa -26.5cm,999,999
Noah Dosa Tawa -28.5cm,1099,1099
Noah Dry Iron Ndi-2000,1129,1129
Noah Electric Kettle Nek- 1.8 Ltr./S Plus,800,800
Noah Electric Kettle-P 1.8 Ltr. 2022,1200,1200
Noah Fry Pan (Taper) -16.5cm,469,469
Noah Fry Pan (Taper) -22.5cm,899,899
Noah Fry Pan (Taper) -26.5cm,1149,1149
Noah Fry Pan (Taper)-24.5cm,1075,1075
Noah Fry Pan Gl -22.5cm,1149,1149
Noah Fry Pan Gl-24.5cm,1270,1270
Noah Frypan GL -26.5cm,1389,1389
Noah Frypan Gl -28.5cm,1590,1590
Noah Gas Stove Ngs-3330 ( Double Glass ),5899,5899
Noah Gas Stove Ngs-9090a ( Double Glass ),4999,4999
Noah Kadhai Gl -22.5cm,1250,1250
Noah Kadhai Gl 24.5cm,1399,1399
Noah Kadhai Gl -26.5cm,1589,1589
Noah Kadhai Gl -28.5cm,1749,1749
Noah Kadhai Gl -30.5cm,1899,1899
Noah Mixer & Grinder Aura-750 Wat,4458,4458
Noah Mixer Grinder Powermatic-850 Watt,4670,4670
Noah Non-Stick Milkpan With Glass Lid 16.5cm,899,899
Noah Non-Stick Milkpan With Glass Lid 18.5cm,989,989
Noah Non-Stick Multipan-28.5 Cm,1869,1869
Noah NS Belly Pot With Glass Lid 24 Cm,1685,1685
Noah Ns Belly Pot With Glass Lid 26 Cm,1960,1960
Noah NS Belly Pot With Glass Lid 28 Cm,2199,2199
Noah NS Belly Pot With Glass Lid 30 Cm,2559,2559
Noah Pressure Cooker -3.5 Ltr,1388,1388
Noah Pressure Cooker -6.5 Ltr,1830,1830
Noah Pressure Cooker Handi -3.5 Ltr Gas Bottom,1499,1499
Noah Pressure Cooker Handi -4.5 Ltr Gas Bottom,1799,1799
Noah Pressure Cooker Handi -5.5 Ltr Gas Bottom,1899,1899
Noah Presure Cooker -2.5 Ltr,1280,1280
Noah Rice Cooker Double Pot-Nr-2ssip-(Dp) 2.8 Ltr,3399,3399
Noah Ruti Tawa -25.5cm,989,989
Noah Ruti Tawa -28.5cm,1275,1275
Noah Vacuum Bottle-1.8 ltr ml,899,899
Onetime Plastic Full Plate,3.5,3.5
Rfl Hotpot Jupiter Stelo 1200ml Marble-Glass Lid,585,585
Rfl Hotpot Jupiter Stelo 2500ml Marble-Glass Lid,810,810
"Rfl 3.5"" Winter Bowl",40,40
"Rfl 4"" Curry Bowl",65,65
"Rfl 4.5"" Spring Bowl",85,85
"Rfl 4.5""lotus Bowl",60,60
"Rfl 5"" Winter Bowl",60,60
"Rfl 5.7"" Flower Bowl (Green)",70,70
"Rfl 6.5"" Winter Bowl",100,100
"Rfl 8"" Winter Bowl",140,140
"Rfl 8.5"" Party Tray-Black Berry",150,150
Rfl Cleaning Pad Green-4 Pcs,80,80
Rfl Cleaning Pad Multicolor-4 Pcs,80,80
Rfl Garlic Spice Box Large,90,90
"Rfl Italiano 10"" Bowl-Celestia",240,240
"Rfl Italiano 10"" Bowl-Opal Flora",240,240
"Rfl Italiano 10"" Soup Plate-Celestia",200,200
"Rfl Italiano 10"" Soup Plate-Opal Flora",200,200
"Rfl Italiano 10.5"" Deep Plate-Celestia 735002",215,215
"Rfl Italiano 10.5"" Deep Plate-Opal Flora 735055",215,215
"Rfl Italiano 4.5"" Soup Bowl-Celestia",85,85
"Rfl Italiano 4.5"" Soup Bowl-Opal Flora",85,85
"Rfl Italiano 5"" Finny Bowl-Celestia",80,80
"Rfl Italiano 5"" Finny Bowl-Opal Flora",80,80
"Rfl Italiano 5"" Soup Bowl-Celestia",85,85
"Rfl Italiano 5"" Soup Bowl-Opal Flora",85,85
"Rfl Italiano 6"" Bowl-Celestia",105,105
"Rfl Italiano 7"" Round Plate-Celestia",105,105
"Rfl Italiano 7"" Round Plate-Opal Flora",105,105
"Rfl Italiano 7.5"" Deep Plate-Celestia",110,110
"Rfl Italiano 7.5"" Deep Plate-Opal Flora",110,110
"Rfl Italiano 8"" Bowl-Celestia",170,170
"Rfl Italiano 9"" Bowl-Celestia",200,200
"Rfl Italiano 9"" Bowl-Opal Flora",200,200
RFL Laundry Basket Cane Laundry Basket Oval- 96581,790,790
Rfl Lemon Squeezer,140,140
Rfl Monia Lock With Box,180,180
Rfl Monia Lock cont Rtg 2800 Ml With Box,310,310
"Rfl Plate 10"" Crazy Plate-859653",160,160
"Rfl Plate 10.3"" Crazy Coup Plate-859682",165,165
"Rfl Plate 13.5"" Crazy Oval Dish-859683",210,210
"Rfl Plate 8"" Crazy Plate-859658",100,100
Rfl Rubber Dust Pan,50,50
Rfl Ruby Oil Jar 750 Ml,150,150
Rfl Salt Pot,75,75
Rfl Smart Ss Food Carrier- 1 Layer,427.5,427.5
Rfl Smart Ss Food Carrier 2 Layer,675,675
Rfl Spice Jar -Trans,100,100
Rfl Ss Scourer -Buy 01 Get 01 Free 78690,30,30
Rfl Topper Nonstick Glamour Ruti Tawa (Ash) - 26 Cm-80935,930,930
RFL TPR AL Fry Pan 26 CM-922264,416.6,416.6
RFL TPR SS Tea Spoon-17 CM-6P-ROSA-966149,192,192
Rfl Trim Container Rtg High-1000 Ml,90,90
Rfl Trim Container Rtg-300 Ml,50,50
Rfl Trim Container Rtg-600 Ml,65,65
"Rfl Vegetable Bowl 6""",50,50
"Rfl Vegetable Bowl 7""",70,70
Rfl Vision Blender Vis-Sbl-011(Crushers) 873154,4950,4950
Vista Mixer Grinder Commando,6990,6990
Vista Rice Cooker 1.8 L,3390,3390
WB BBQ Kabab Koila Packet,170,170
Wb Bbq Set 4 Hook,550,550
Wb Bbq Set 6 Hook,780,780
Wb Bbq Set 8 Hook,850,850
Wb Bread Knife Kasun,228,228
Wb Cake Brush - Long,162,162
Wb Cake Nozzle Ss-Big,780,780
Wb Coffee Bitter,209,209
Wb Coffee Mug - Wt-B,195,195
Wb Curry Scrving Bowl-804,90,90
Wb Egg Pan -4k,950,950
Wb Frypan (Premium) Lid 24 Cm,1392,1392
Wb Frypan (Premium) No Lid 20cm,1056,1056
Wb Frypan (Premium) No Lid 22 Cm,1145,1145
Wb Frypan (Premium) No Lid 24cm,1265,1265
Wb Frypan (Premium) No Lid 26 Cm,1361,1361
Wb Glass Lid,60,60
Wb Glass Tray,265,265
Wb Haman Dista (Marbel),828,828
Wb Heat Pad Bamboo -Dsn,114,114
Wb Heat Pad Bamboo,300,300
Wb Kids Soap Buble,58,58
Wb Kitchen Gloves - R,149,149
Wb Knife (With Cover),89,89
Wb Knife Jori Handel Pcs,84,84
Wb Knife Wood Handle - Xl,209,209
Wb Measurement Cup Ss,528,528
Wb Meat Hand Chopper,269,269
Wb Mini Car Duster,197,197
Wb Miyako Blender -2004,2650,2650
Wb Miyako Blender-152/102,4234,4234
Wb Pata Chimta(Ht),169,169
Wb Rice Spoon Ss- Pcs,179,179
Wb Salt Bowl-803,60,60
Wb Shashlik Kathi,120,120
Wb Shashlik Kathi - M,43,43
Wb Slice Knife Pcs,60,60
Wb Steel Scourer,93,93
Wb Table Spoon Ss- Pcs,118,118
Wb Table/Fork Spoon 6 Pcs Wood,540,540
Wb Tooth Pick (Box),141,141
Wb Tooth Pick (Pp)-400 Pcs,88,88
