Name,Price(07/11/2025),Price(08/11/2025)
Country Natural Chicken Sausage 180gm / 12 Pcs,165,165
Country Natural Chicken Sausage -300gm,260,260
COUNTRY NATURAL CHICKEN SHAMI KABAB 200GM,250,250
Country Natural Chicken Spicy Nuggets -250gm,225,225
Country Natural Chicken Spring Roll 300g,240,240
Country Natural Double Bites Chicken Samusa 250gm / 24-25 Pcs,210,210
Country Natural Double Bites Chicken Spring Roll 250gm / 24-25 Pcs,220,220
COUNTRY NATURAL FALAFEL 300GM,170,170
COUNTRY NATURAL LOW FAT PARATHA 600GM 10PCS,135,135
Country Natural Mccain Masala Fries 380 Gm,460,460
Country Natural Mccain Smiles 415 Gm,300,300
Country Natural Mccain Super Wedges 400 Gm,380,380
Country Natural Multigrain Roti -20pcs (1000gm),260,260
COUNTRY NATURAL PIYAJU 300GM,215,215
Country Natural Plain Paratha -10pcs (650gm),170,170
Country Natural Plain Paratha -20pcs (1300gm),320,320
Country Natural Plain Paratha 325gm 5pcs,90,90
COUNTRY NATURAL POTATO CHICKEN BALL 300GM,225,225
COUNTRY NATURAL POTATO NUGGETS 300GM,170,170
Country Natural Rice Flour Roti-10pcs (500 Gm),160,160
COUNTRY NATURAL VEGETABLE MOMO 300GM,200,200
Country Natural Vegetable Singara 400gm / 10 Pcs,140,140
Country Natural Vegetable Spring Roll 300gm / 14-15 Pcs,140,140
Country Natural Whole Wheat Roti -900gm,230,230
Cp Chicken Burger Patty -500gm,480,480
Cp Chicken Hot Sausage -400gm,320,320
Cp Chicken Nuggets -320gm,340,340
CP Chilli Gangsters Bite Selections -250gm,280,280
Cp Delight Crispy Chicken Popcorn 250 Gm,280,280
Cp Italian Bologna 340g,270,270
Cp Italian Chili Bologna -340gm,270,270
Cp Japanese Bite Selections 250gm,350,350
Cp Plain Chicken Ball 500g,320,320
Cp Spicy Chicken Ball -500gm,320,320
Doux Chicken Franks Garlic 10p 340gm,275,275
Essential Chicken Roll -10pcs,150,150
Essential Chicken Samosa -10pcs,130,130
Essential Chicken Wonthon 10pc,150,150
Flav O Rich Chicken Franks 340g,300,300
Fresh One Basa Fish Fillet 1kg,700,700
German Butcher Beef Kabab Sausage 300gm,360,360
German Butcher Beef Merguez Sausage 300gm,360,360
German Butcher Beef Sausage,360,360
German Butcher Beef Sausage (Cooked) 300g,300,300
German Butcher Chicken Nuggets250g/12-15pcs,210,210
German Butcher Chicken Orginal Sausage 300g,300,300
German Butcher Chicken Popcorn 250g/35-40pcs,275,275
German Butcher Chicken Smoked Bacon,250,250
German Butcher Chicken Strips250g /10-12pcs,250,250
German Butcher Chicken White Meat Ball 250gm,200,200
German Butcher Paratha 1300gm- 20pcs,320,320
Golden Harvest Aloo Paratha -250gm,95,95
Golden Harvest Atta Rooti -20pcs (1200gm),220,220
Golden Harvest Beef Burger Patty -200gm,310,310
Golden Harvest Chicken Burger Patty -200gm,190,190
Golden Harvest Chicken Meatball -400gm,300,300
Golden Harvest Chicken Momo 250gm,240,240
Golden Harvest Chicken Nuggets -250gm,200,200
Golden Harvest Chicken Samosa -250gm,210,210
Golden Harvest Chicken Shammi Kabab (10pcs),250,250
Golden Harvest Chicken Strips -300gm,290,290
Golden Harvest Chicken Wonton 300gm,220,220
Golden Harvest Crinkle Cut French Fries 500gm,240,240
Golden Harvest Dal Puri -454gm,145,145
Golden Harvest Deshi Ghee Paratha 10 Pc 800 Gm,310,310
Golden Harvest Deshi Paratha (Mini Family Pack) 650gm,170,170
Golden Harvest Deshi Paratha F/Pack -1300gm,310,310
Golden Harvest Deshi Regular Paratha -325gm,95,95
Golden Harvest Fish Finger -10pcs (200gm),200,200
Golden Harvest Kids Chicken Nuggets-250gm 18pcs ±,215,215
Golden Harvest Mini Beef Spring Roll -300gm (15pc),350,350
Golden Harvest Mini Chicken Spring Roll -15pc,235,235
Golden Harvest Pop Chicken -25pcs (250gm),260,260
Golden Harvest Premium Deshi Paratha -20pcs (1300gm),320,320
Golden Harvest Red Wheat Rooti -1200 Gm,235,235
Golden Harvest Rice Rooti - 600gm,150,150
Golden Harvest S Bite Veg Samosa 250gm,125,125
Golden Harvest S&Hot Wings&Drumlets -500gm,370,370
Golden Harvest Single Bite Beef Samosa - 250gm,270,270
Golden Harvest Single Bite Beef Samosa - 500gm,525,525
Golden Harvest Single Bite Chicken Samosa -500gm,415,415
Golden Harvest Single Bite Vegetable Samosa -500gm (50pcs),230,230
Golden Harvest Smoked Chicken Kabab 400 Gm,500,500
GOLDEN HARVEST SPRING ROLL PASTRY 400GM,175,175
Golden Harvest Straight Cut French Fries -1000gm,380,380
Golden Hervest Chicken Nuggets 300gm,240,240
Ig Food Potato French Fry,170,170
Igf Aloo Puri 400 Gm,130,130
Igf Chicken Burger Patty 400 Gm,370,370
Igf Chicken Chips 150 Gm,160,160
Igf Chicken Kids Nuggets 250 Gm,220,220
Igf Chicken Meatball 300 Gm,230,230
Igf Chicken Mini Nuggets 250 Gm,220,220
Igf Chicken Nuggets 250 Gm,220,220
Igf Chicken Popcorn 250 Gm,280,280
Igf Chicken Potato Chop 250 Gm,155,155
Igf Chicken Samosa 250 Gm,200,200
Igf Chicken Sausages 300 Gm,250,250
Igf Chicken Shami Kabab 250 Gm,265,265
Igf Chicken Singara 300 Gm,140,140
